id,price,brand,model,year,title_status,mileage,color
41,16600,mercedes-benz,vans,2016,clean vehicle,97983,white
42,30500,chevrolet,1500,2018,clean vehicle,30442,red
43,6330,ford,mpv,2017,clean vehicle,38123,red
44,55000,ford,srw,2017,clean vehicle,15273,black
45,12520,gmc,door,2017,clean vehicle,28972,black
46,16200,jeep,compass,2019,clean vehicle,30061,red
47,19000,chevrolet,malibu,2017,clean vehicle,18414,white
48,5580,dodge,mpv,2017,clean vehicle,46829,gray
49,54000,ford,srw,2017,clean vehicle,26241,black
50,12710,gmc,mpv,2017,clean vehicle,39886,red
51,16000,jeep,compass,2019,clean vehicle,31594,silver
52,27000,buick,enclave,2017,clean vehicle,32107,no_color
53,7760,ford,mpv,2017,clean vehicle,44794,gray
54,19600,chrysler,300,2019,clean vehicle,42648,gray
55,12920,gmc,mpv,2017,clean vehicle,39165,silver
56,20000,jeep,cherokee,2019,clean vehicle,38355,charcoal
57,18100,buick,door,2017,clean vehicle,46766,silver
58,23000,chrysler,pacifica,2020,clean vehicle,2473,white
59,18500,chrysler,300,2019,clean vehicle,38586,gray
60,13490,gmc,door,2017,clean vehicle,27842,white
61,20700,jeep,cherokee,2019,clean vehicle,31156,white
62,17800,chevrolet,door,2017,clean vehicle,52435,black
63,6650,ford,door,2017,clean vehicle,29942,black
64,29100,chrysler,pacifica,2019,clean vehicle,25281,red
65,12710,gmc,door,2017,clean vehicle,32504,silver
66,21100,jeep,cherokee,2019,clean vehicle,28649,silver
67,18600,chevrolet,door,2017,clean vehicle,35200,white
68,4340,ford,door,2017,clean vehicle,25602,silver
69,19300,chrysler,300,2019,clean vehicle,34801,gray
70,12780,gmc,door,2017,clean vehicle,31009,black
71,15800,jeep,compass,2019,clean vehicle,35595,charcoal
72,29400,bmw,x3,2017,clean vehicle,23765,black
73,4430,ford,door,2017,clean vehicle,31792,black
74,19400,chrysler,300,2019,clean vehicle,33135,gray
75,12520,gmc,door,2017,clean vehicle,30636,red
76,15900,jeep,compass,2019,clean vehicle,34502,red
77,26400,buick,door,2017,clean vehicle,25434,white
78,4140,ford,door,2017,clean vehicle,36732,black
79,18300,chrysler,300,2019,clean vehicle,41792,gray
80,12520,gmc,door,2017,clean vehicle,31992,black
81,17900,jeep,compass,2019,clean vehicle,32501,red
82,18300,chevrolet,camaro,2017,clean vehicle,28395,black
83,4640,ford,door,2017,clean vehicle,36139,blue
84,24000,ford,door,2016,clean vehicle,84413,black
85,13200,gmc,door,2017,clean vehicle,33457,white
86,18000,jeep,compass,2019,clean vehicle,29245,gray
87,14900,chevrolet,equinox,2017,clean vehicle,12783,silver
88,4140,ford,door,2017,clean vehicle,17617,white
89,11500,ford,door,2016,clean vehicle,36855,black
90,9110,ford,door,2017,clean vehicle,110316,white
91,7350,chrysler,door,2015,clean vehicle,88227,black
92,24500,bmw,door,2017,clean vehicle,17626,gray
93,9300,ford,door,2017,clean vehicle,120353,white
94,39800,dodge,challenger,2015,clean vehicle,3641,white
95,53500,bmw,m,2017,clean vehicle,29355,blue
96,15110,ford,door,2017,clean vehicle,39333,black
97,34000,ford,door,2015,clean vehicle,42930,white
98,26502,chevrolet,colorado,2017,clean vehicle,24993,black
99,5990,ford,mpv,2017,clean vehicle,44929,black
100,13600,ford,focus,2018,clean vehicle,16971,black
101,23605,cadillac,door,2017,clean vehicle,35598,gray
102,10780,ford,mpv,2017,clean vehicle,40455,white
103,13800,ford,focus,2018,clean vehicle,23164,white
104,25201,cadillac,door,2017,clean vehicle,19011,no_color
105,7070,ford,mpv,2017,clean vehicle,45191,white
106,8700,ford,focus,2018,clean vehicle,21405,white
107,18003,chevrolet,malibu,2017,clean vehicle,19117,no_color
108,8530,ford,door,2017,clean vehicle,42104,black
109,23100,dodge,durango,2018,clean vehicle,49496,white
110,24500,cadillac,door,2017,clean vehicle,32418,white
111,7000,ford,mpv,2017,clean vehicle,29882,white
112,17000,ford,escape,2018,clean vehicle,34819,gold
113,34002,chevrolet,1500,2017,clean vehicle,31923,white
114,6980,ford,mpv,2017,clean vehicle,29168,gray
115,25000,dodge,charger,2018,clean vehicle,28307,silver
116,20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise
117,9200,ford,door,2017,clean vehicle,21770,black
118,26500,chrysler,pacifica,2017,clean vehicle,18375,gray
119,24802,chevrolet,colorado,2017,clean vehicle,14158,gray
120,7070,ford,mpv,2017,clean vehicle,30318,black
121,28500,ford,door,2017,clean vehicle,48086,red
122,47500,cadillac,door,2017,clean vehicle,26562,black
123,23500,ford,explorer,2017,clean vehicle,57611,black
124,23505,chevrolet,colorado,2017,clean vehicle,47357,black
125,10940,ford,door,2017,clean vehicle,84916,white
126,32100,ford,f-150,2017,clean vehicle,24521,gray
127,53000,chevrolet,3500,2018,clean vehicle,16105,black
128,6830,ford,mpv,2017,clean vehicle,35888,gold
129,11900,dodge,caravan,2017,clean vehicle,59537,gray
130,26414,chevrolet,1500,2017,clean vehicle,55222,black
131,4160,dodge,mpv,2018,clean vehicle,32870,gray
132,19405,chevrolet,door,2017,clean vehicle,39687,silver
133,5690,dodge,mpv,2018,clean vehicle,47085,silver
134,25900,chrysler,van,2017,clean vehicle,32224,silver
135,24005,chevrolet,1500,2017,clean vehicle,51293,beige
136,5090,dodge,mpv,2018,clean vehicle,42989,gray
137,19500,chrysler,300,2017,clean vehicle,31311,gray
138,32012,chevrolet,1500,2017,clean vehicle,46091,white
139,6800,dodge,dart,2016,clean vehicle,49033,black
140,4260,dodge,mpv,2018,clean vehicle,33957,gray
141,0,dodge,van,2008,salvage insurance,177948,orange
142,31802,chevrolet,2500,2017,clean vehicle,19845,silver
143,7210,dodge,doors,2018,clean vehicle,38910,black
144,0,dodge,door,2014,salvage insurance,123660,silver
145,28402,chevrolet,1500,2017,clean vehicle,31234,black
146,6800,dodge,doors,2018,clean vehicle,36767,gray
147,33300,cadillac,esv,2015,clean vehicle,57932,gray
148,10780,dodge,mpv,2018,clean vehicle,19420,white
149,6700,ford,cutaway,2014,clean vehicle,204155,beige
150,20000,chevrolet,1500,2016,clean vehicle,93493,white
151,6440,chrysler,doors,2018,clean vehicle,20942,gray
152,19900,ford,door,2016,clean vehicle,86826,gray
153,37000,chevrolet,door,2015,clean vehicle,45787,white
154,4040,dodge,mpv,2018,clean vehicle,50765,red
155,22300,ford,explorer,2016,clean vehicle,62774,black
156,31200,chevrolet,door,2011,clean vehicle,76326,gray
157,4290,dodge,mpv,2018,clean vehicle,39029,white
158,22800,ford,el,2016,clean vehicle,72885,silver
159,19002,cadillac,door,2016,clean vehicle,46467,white
160,4160,dodge,mpv,2018,clean vehicle,6743,gray
161,18500,ford,edge,2016,clean vehicle,33514,white
162,39000,bmw,series,2016,clean vehicle,39917,blue
163,6060,dodge,doors,2018,clean vehicle,32504,black
164,28800,ford,door,2016,clean vehicle,77638,white
165,40000,bmw,series,2016,clean vehicle,31727,gray
166,6140,dodge,doors,2018,clean vehicle,52966,silver
167,21000,ford,flex,2016,clean vehicle,24157,gray
168,20105,buick,door,2016,clean vehicle,51393,beige
169,6760,dodge,doors,2018,clean vehicle,35461,white
170,25800,ford,door,2014,clean vehicle,47055,brown
171,39000,bmw,series,2016,clean vehicle,33110,black
172,5470,dodge,mpv,2018,clean vehicle,39721,black
173,14600,ford,door,2014,clean vehicle,75785,black
174,24502,chevrolet,1500,2016,clean vehicle,33624,black
175,15110,ford,door,2017,clean vehicle,42289,white
176,7900,ford,door,2014,clean vehicle,79422,white
177,27305,chevrolet,door,2016,clean vehicle,28844,blue
178,15290,ford,door,2017,clean vehicle,66582,white
179,26500,ford,door,2015,clean vehicle,61436,silver
180,25502,chevrolet,door,2016,clean vehicle,58303,silver
181,7320,ford,mpv,2017,clean vehicle,55618,white
182,3800,chevrolet,van,2009,clean vehicle,261648,white
183,24502,chevrolet,door,2016,clean vehicle,33045,white
184,4140,ford,door,2017,clean vehicle,40747,white
185,1400,dodge,pk,2002,clean vehicle,185460,black
186,18402,cadillac,srx,2016,clean vehicle,26667,gray
187,4160,ford,door,2017,clean vehicle,37176,white
188,175,chrysler,door,2000,salvage insurance,231240,red
189,24503,chevrolet,colorado,2016,clean vehicle,18006,brown
190,15840,ford,door,2017,clean vehicle,72445,white
191,20500,ford,door,2014,clean vehicle,123355,black
192,21003,chevrolet,1500,2016,clean vehicle,44116,silver
193,4200,ford,door,2017,clean vehicle,60219,red
194,17400,ford,door,2011,clean vehicle,135077,red
195,32001,chevrolet,door,2016,clean vehicle,32058,black
196,0,ford,mpv,2017,clean vehicle,76858,white
197,15700,ford,cab,2011,clean vehicle,309564,white
198,31009,chevrolet,door,2016,clean vehicle,33928,white
199,3740,ford,wagon,2017,clean vehicle,90618,white
200,5000,dodge,pickup,2001,clean vehicle,109360,white
201,31002,chevrolet,door,2016,clean vehicle,71809,white
202,3160,ford,doors,2017,clean vehicle,31563,gray
203,8600,dodge,pickup,2005,clean vehicle,219823,gray
204,6000,chevrolet,malibu,2018,clean vehicle,42090,gray
205,12990,ford,door,2017,clean vehicle,126523,white
206,25,chevrolet,vehicl,2020,salvage insurance,7232,black
207,13200,buick,encore,2017,clean vehicle,60171,black
208,4410,ford,wagon,2017,clean vehicle,209915,white
209,25,chrysler,door,2005,salvage insurance,151815,silver
210,22500,chevrolet,camaro,2020,clean vehicle,13826,green
211,7420,ford,mpv,2017,clean vehicle,55854,white
212,13500,ford,door,2016,clean vehicle,45757,silver
213,15500,chevrolet,trax,2020,clean vehicle,16545,white
214,3540,ford,door,2017,clean vehicle,112893,white
215,17000,ford,door,2016,clean vehicle,126802,no_color
216,45500,chevrolet,tahoe,2020,clean vehicle,13303,white
217,4130,ford,door,2017,clean vehicle,34061,silver
218,15700,ford,door,2015,clean vehicle,70251,white
219,45500,chevrolet,tahoe,2020,clean vehicle,13679,gray
220,4130,ford,doors,2017,clean vehicle,42426,gray
221,15500,dodge,door,2012,clean vehicle,66452,black
222,16300,chevrolet,trax,2020,clean vehicle,18221,white
223,4530,ford,mpv,2017,clean vehicle,41455,white
224,15600,dodge,door,2011,clean vehicle,35275,black
225,45500,chevrolet,tahoe,2020,clean vehicle,13885,white
226,4100,ford,door,2017,clean vehicle,38815,gray
227,18200,dodge,door,2011,clean vehicle,162281,white
228,10200,chevrolet,door,2013,clean vehicle,56479,black
229,4080,ford,doors,2017,clean vehicle,61027,black
230,5700,ford,van,2014,clean vehicle,178703,white
231,10200,chevrolet,3500,2014,clean vehicle,173469,white
232,5000,ford,door,2017,clean vehicle,37321,white
233,1700,ford,door,2014,clean vehicle,112789,white
234,6200,bmw,door,2011,clean vehicle,80394,gray
235,3650,ford,door,2016,clean vehicle,68142,white
236,10500,dodge,door,2014,clean vehicle,74203,white
237,43500,chevrolet,2500,2018,clean vehicle,57604,white
238,4610,dodge,van,2016,clean vehicle,87229,silver
239,3450,ford,door,2012,clean vehicle,90711,white
240,38500,chevrolet,suburban,2018,clean vehicle,11135,silver
241,6810,ford,mpv,2016,clean vehicle,66781,silver
242,2900,ford,cargo,2011,clean vehicle,190994,white
243,43500,chevrolet,2500,2018,clean vehicle,56007,white
244,4450,ford,mpv,2016,clean vehicle,32486,white
245,5800,ford,door,2011,clean vehicle,195908,white
246,16500,chevrolet,equinox,2018,clean vehicle,18020,silver
247,4240,dodge,mpv,2016,clean vehicle,83262,white
248,26500,ford,pickup,2008,clean vehicle,62015,white
249,13700,chevrolet,equinox,2017,clean vehicle,36421,silver
250,8600,ford,door,2016,clean vehicle,73321,white
251,8000,ford,chassis,2008,clean vehicle,132379,white
252,14200,chevrolet,equinox,2017,clean vehicle,28013,silver
253,7040,ford,mpv,2016,clean vehicle,33291,silver
254,4700,ford,chassis,2005,clean vehicle,225236,no_color
255,30851,chevrolet,door,2016,clean vehicle,43176,red
256,4880,ford,mpv,2016,clean vehicle,36876,silver
257,14500,dodge,pickup,2006,clean vehicle,111782,silver
258,7600,chevrolet,door,2017,clean vehicle,110489,brown
259,13270,ford,door,2016,clean vehicle,84035,white
260,12800,ford,door,2012,clean vehicle,131101,gray
261,33000,chevrolet,1500,2018,clean vehicle,52521,white
262,9280,ford,door,2016,clean vehicle,101380,white
263,900,ford,van,2003,clean vehicle,142027,white
264,7560,ford,door,2016,clean vehicle,111476,gray
265,19500,ford,drw,2011,clean vehicle,76897,white
266,17100,chevrolet,malibu,2019,clean vehicle,15780,white
267,8020,ford,door,2016,clean vehicle,31944,white
268,10300,ford,fiesta,2019,clean vehicle,18937,black
269,22600,chevrolet,van,2019,clean vehicle,9706,white
270,10480,ford,doors,2016,clean vehicle,57289,gray
271,10300,ford,fiesta,2019,clean vehicle,19956,silver
272,22700,chevrolet,van,2019,clean vehicle,6075,white
273,7410,ford,door,2016,clean vehicle,21034,gray
274,10300,ford,fiesta,2019,clean vehicle,22881,gray
275,10300,chevrolet,door,2013,clean vehicle,167600,gray
276,7570,ford,door,2016,clean vehicle,37252,white
277,67000,dodge,challenger,2019,clean vehicle,10944,blue
278,18900,chevrolet,impala,2019,clean vehicle,27601,white
279,12560,ford,doors,2019,clean vehicle,15958,white
280,33000,dodge,durango,2019,clean vehicle,32251,white
281,18300,chevrolet,impala,2019,clean vehicle,25809,black
282,11760,ford,cab,2017,clean vehicle,30553,white
283,31700,dodge,durango,2019,clean vehicle,26549,red
284,25,dodge,door,2007,salvage insurance,160528,dark blue
285,0,ford,door,2000,salvage insurance,124969,black
286,7340,ford,doors,2019,clean vehicle,15854,gray
287,8200,hyundai,door,2017,clean vehicle,56690,white
288,3000,kia,door,2013,clean vehicle,97142,silver
289,6530,jeep,mpv,2019,clean vehicle,10185,black
290,0,mazda,door,2009,salvage insurance,117541,gray
291,12700,kia,soul,2019,clean vehicle,23514,silver
292,13800,kia,sorento,2017,clean vehicle,86959,gray
293,0,chevrolet,pickup,1998,salvage insurance,258631,gray
294,725,ford,door,2017,salvage insurance,67279,gray
295,7400,ford,doors,2019,clean vehicle,16482,gray
296,9800,hyundai,elantra,2017,clean vehicle,35687,red
297,0,honda,door,2003,salvage insurance,152608,white
298,4400,jeep,mpv,2019,clean vehicle,17911,green
299,10330,infiniti,mpv,2019,clean vehicle,21278,blue
300,1800,chevrolet,door,2011,salvage insurance,47269,black
301,50,chevrolet,door,2008,salvage insurance,172102,blue
302,720,ford,wagon,2006,clean vehicle,26914,no_color
303,22800,ford,door,2017,clean vehicle,67217,red
304,2500,ford,door,2017,salvage insurance,78698,black
305,0,ford,door,2003,salvage insurance,246065,gold
306,9190,gmc,mpv,2017,clean vehicle,41961,black
307,10900,jeep,mpv,2019,clean vehicle,13273,red
308,10400,infiniti,mpv,2019,clean vehicle,31713,black
309,0,chevrolet,door,2004,salvage insurance,0,maroon
310,0,chevrolet,door,2003,salvage insurance,194673,gray
311,7320,chevrolet,pickup,2008,clean vehicle,325611,silver
312,22809,ford,f-150,2017,clean vehicle,50732,black
313,0,ford,van,1998,salvage insurance,186855,blue
314,0,ford,door,2013,salvage insurance,94004,black
315,5520,gmc,mpv,2017,clean vehicle,52904,silver
316,10900,jeep,mpv,2019,clean vehicle,14195,orange
317,6330,jeep,mpv,2019,clean vehicle,43965,red
318,0,chevrolet,door,2009,salvage insurance,117059,black
319,25,chevrolet,pickup,2010,salvage insurance,149189,white
320,2320,dodge,door,2007,clean vehicle,112182,red
321,23702,ford,door,2017,clean vehicle,49024,black
322,0,ford,chassis,1994,salvage insurance,0,green
323,0,ford,door,1997,salvage insurance,203297,green
324,5520,gmc,mpv,2017,clean vehicle,35821,silver
325,4050,heartland,pioneer,2018,clean vehicle,1,gray
326,14810,infiniti,mpv,2019,clean vehicle,32611,brown
327,25,chevrolet,door,2011,salvage insurance,105244,white
328,2960,chrysler,van,2008,clean vehicle,164048,red
329,24800,ford,door,2017,clean vehicle,46955,gray
330,0,ford,door,1996,salvage insurance,296860,green
331,0,ford,door,2006,salvage insurance,203158,red
332,6270,gmc,mpv,2017,clean vehicle,70443,black
333,1880,heartland,trail,2012,clean vehicle,1,white
334,10050,infiniti,mpv,2019,clean vehicle,18229,gray
335,225,chevrolet,door,2014,salvage insurance,87673,red
336,26900,chevrolet,traverse,2018,clean vehicle,42941,black
337,1420,chrysler,door,2007,clean vehicle,104405,gold
338,27003,ford,door,2017,clean vehicle,57186,black
339,0,ford,door,2002,salvage insurance,214800,black
340,350,ford,door,2004,salvage insurance,236980,gray
341,5600,gmc,mpv,2017,clean vehicle,59808,black
342,6680,heartland,country,2011,clean vehicle,1,gray
343,10120,infiniti,mpv,2019,clean vehicle,20681,white
344,0,chevrolet,door,2010,salvage insurance,137422,red
345,3920,ford,door,2015,clean vehicle,102700,white
346,23100,ford,door,2017,clean vehicle,53270,black
347,0,gmc,door,2004,salvage insurance,235348,gold
348,5630,gmc,mpv,2017,clean vehicle,27195,black
349,0,heartland,sundance,2009,clean vehicle,1,white
350,2800,jaguar,doors,2019,clean vehicle,20849,black
351,0,chevrolet,door,2008,salvage insurance,159266,gray
352,8850,ford,door,2015,clean vehicle,143818,black
353,18712,ford,f-150,2017,clean vehicle,67347,black
354,0,ford,pickup,2009,salvage insurance,180364,blue
355,0,ford,door,2009,salvage insurance,184889,black
356,6300,gmc,mpv,2017,clean vehicle,117400,blue
357,2220,heartland,country,2010,clean vehicle,1,white
358,6930,jeep,mpv,2019,clean vehicle,47798,red
359,25,chevrolet,door,2008,salvage insurance,130623,white
360,3440,ford,door,2015,clean vehicle,124542,white
361,50412,ford,door,2017,clean vehicle,47129,black
362,25,ford,pickup,1994,salvage insurance,206162,white
363,950,ford,pk,2001,salvage insurance,229886,red
364,9270,gmc,mpv,2017,clean vehicle,19490,gray
365,11380,jeep,mpv,2019,clean vehicle,12038,black
366,5350,hyundai,mpv,2019,clean vehicle,43536,blue
367,2725,chevrolet,door,2004,salvage insurance,308451,black
368,3790,ford,door,2015,clean vehicle,100893,gray
369,40514,ford,door,2017,clean vehicle,90304,white
370,0,ford,door,1997,salvage insurance,146912,green
371,0,ford,door,1998,salvage insurance,131367,white
372,9190,gmc,mpv,2017,clean vehicle,31394,gray
373,10330,infiniti,mpv,2019,clean vehicle,25933,gray
374,1000,acura,door,2008,salvage insurance,118250,gray
375,2925,bmw,door,2013,salvage insurance,46060,white
376,3830,ford,door,2015,clean vehicle,50593,gold
377,43402,ford,door,2017,clean vehicle,62387,blue
378,1025,gmc,door,2009,salvage insurance,169634,black
379,17200,honda,van,2016,clean vehicle,72527,gray
380,54680,harley-davidson,road/street,2016,clean vehicle,9502,black
381,6940,honda,door,2010,clean vehicle,217290,no_color
382,13080,infiniti,mpv,2019,clean vehicle,17243,gray
383,25,chevrolet,door,2007,salvage insurance,194903,gray
384,10630,ford,door,2015,clean vehicle,82899,white
385,43009,ford,door,2017,clean vehicle,76418,white
386,25,gmc,door,2003,salvage insurance,138441,white
387,4600,ford,pickup,2006,salvage insurance,240740,brown
388,4950,honda,mpv,2016,clean vehicle,71404,black
389,3760,hyundai,doors,2019,clean vehicle,30382,silver
390,3900,acura,door,2009,clean vehicle,179389,black
391,0,cadillac,coupe,2000,salvage insurance,105169,white
392,3830,ford,door,2015,clean vehicle,82534,silver
393,53500,ford,door,2017,clean vehicle,55732,white
394,25,ford,door,2010,salvage insurance,198596,gray
395,25,ford,door,1998,salvage insurance,300021,brown
396,6240,honda,door,2015,clean vehicle,83623,silver
397,4150,jeep,door,2014,clean vehicle,108895,white
398,25,jeep,door,1999,salvage insurance,226972,black
399,61200,bmw,series,2020,clean vehicle,7509,black
400,0,buick,door,2006,salvage insurance,137464,blue
401,13500,bmw,series,2014,clean vehicle,33542,blue
402,6490,ford,door,2015,clean vehicle,74754,black
403,51502,ford,door,2017,clean vehicle,27661,black
404,250,ford,door,2010,salvage insurance,115241,white
405,25,ford,door,1984,salvage insurance,41577,white
406,8160,honda,van,2015,clean vehicle,109027,gray
407,7770,jeep,door,2014,clean vehicle,72732,gray
408,200,jeep,door,2001,salvage insurance,126400,green
409,25,audi,door,2008,salvage insurance,177422,black
410,0,chevrolet,door,1995,salvage insurance,274706,green
411,1825,bmw,coupe,2008,salvage insurance,77984,white
412,39800,bmw,series,2017,clean vehicle,23177,blue
413,9210,ford,door,2015,clean vehicle,26911,silver
414,58500,ford,srw,2019,clean vehicle,21527,blue
415,125,ford,door,2014,salvage insurance,56461,silver
416,3960,honda,door,2015,clean vehicle,95128,white
417,5998,hyundai,doors,2014,clean vehicle,122975,phantom black
418,3700,honda,doors,2014,clean vehicle,162824,blue
419,0,kia,wagon,2008,salvage insurance,148463,silver
420,0,audi,door,2005,salvage insurance,181896,black
421,0,bmw,door,2000,salvage insurance,216657,gray
422,5000,gmc,door,2012,clean vehicle,140339,black
423,15050,infiniti,mpv,2019,clean vehicle,26786,white
424,3960,hyundai,doors,2019,clean vehicle,35623,red
425,36300,lincoln,nautilus,2019,clean vehicle,14541,black
426,55600,lexus,gx,2020,clean vehicle,8186,silver
427,2630,nissan,doors,2018,clean vehicle,36739,gray
428,5690,nissan,mpv,2017,clean vehicle,42616,blue
429,19500,audi,q5,2017,clean vehicle,65833,blue
430,450,chevrolet,coupe,2008,salvage insurance,123515,yellow
431,20400,cadillac,door,2015,clean vehicle,36122,white
432,4320,chevrolet,door,2011,clean vehicle,88359,brown
433,33001,ford,f-150,2017,clean vehicle,35905,gray
434,10000,ford,door,2017,salvage insurance,35747,red
435,0,ford,door,2004,salvage insurance,167011,red
436,5790,gmc,door,2012,clean vehicle,105020,white
437,14750,infiniti,mpv,2019,clean vehicle,11047,black
438,4010,hyundai,doors,2019,clean vehicle,31233,silver
439,40000,mercedes-benz,gle,2019,clean vehicle,19427,white
440,13000,kia,sportage,2017,clean vehicle,71991,silver
441,3550,nissan,doors,2018,clean vehicle,29043,blue
442,3040,nissan,doors,2017,clean vehicle,36064,gray
443,0,chevrolet,coupe,2008,salvage insurance,270080,yellow
444,36400,audi,5,2015,clean vehicle,47213,black
445,4480,ford,door,2011,clean vehicle,116480,black
446,31003,ford,door,2017,clean vehicle,72084,red
447,75,ford,pickup,2001,salvage insurance,295780,gold
448,8850,gmc,door,2011,clean vehicle,148035,white
449,14750,infiniti,mpv,2019,clean vehicle,11396,white
450,4690,hyundai,mpv,2019,clean vehicle,33785,silver
451,23000,land,sport,2018,clean vehicle,20103,black
452,46900,land,discovery,2018,clean vehicle,32387,black
453,10740,mercedes-benz,doors,2018,clean vehicle,48140,white
454,3160,nissan,doors,2017,clean vehicle,34861,gray
455,0,chevrolet,door,2006,salvage insurance,268040,silver
456,3450,chrysler,door,2011,clean vehicle,114119,gold
457,27102,ford,f-150,2017,clean vehicle,34165,red
458,500,gmc,door,2018,salvage insurance,27442,black
459,5100,gmc,door,2011,clean vehicle,144792,white
460,15010,infiniti,mpv,2019,clean vehicle,11394,beige
461,5800,jeep,mpv,2019,clean vehicle,30546,silver
462,23200,land,sport,2018,clean vehicle,23745,black
463,8000,hyundai,door,2015,clean vehicle,88274,red
464,3390,nissan,doors,2018,clean vehicle,38349,gray
465,3140,nissan,doors,2017,clean vehicle,30142,white
466,25,chevrolet,door,2007,salvage insurance,267834,black
467,15000,bmw,door,2014,clean vehicle,44730,silver
468,10440,chevrolet,cab,2011,clean vehicle,92476,blue
469,23911,ford,f-150,2017,clean vehicle,25698,black
470,25,ford,pk,2010,salvage insurance,155242,gray
471,21400,gmc,acadia,2018,clean vehicle,54332,gray
472,5380,gmc,cab,2011,clean vehicle,119215,white
473,11000,jeep,mpv,2019,clean vehicle,8930,red
474,4950,jeep,mpv,2019,clean vehicle,46985,silver
475,22500,land,sport,2018,clean vehicle,30220,black
476,30300,maserati,ghibli,2017,clean vehicle,37021,black
477,2630,nissan,doors,2018,clean vehicle,43152,white
478,3140,nissan,doors,2017,clean vehicle,34318,silver
479,2300,chevrolet,door,2011,salvage insurance,88287,white
480,4310,chevrolet,door,2011,clean vehicle,105486,black
481,26012,ford,door,2017,clean vehicle,19850,black
482,75,ford,door,2014,salvage insurance,116535,silver
483,48500,gmc,1500,2019,clean vehicle,15777,black
484,3330,gmc,mpv,2009,clean vehicle,87448,white
485,11200,jeep,mpv,2019,clean vehicle,8395,yellow
486,4730,hyundai,mpv,2019,clean vehicle,30121,red
487,24900,mercedes-benz,glc,2018,clean vehicle,33687,white
488,29400,mercedes-benz,e-class,2017,clean vehicle,37561,blue
489,8350,nissan,cab,2018,clean vehicle,32256,gray
490,475,peterbilt,truck,2012,salvage insurance,902041,gold
491,3210,nissan,doors,2017,clean vehicle,25255,black
492,25,chevrolet,van,2006,salvage insurance,165327,white
493,4200,chevrolet,cutaway,2006,clean vehicle,118009,white
494,8430,chevrolet,utility,2011,clean vehicle,114547,black
495,25503,ford,f-150,2017,clean vehicle,18647,black
496,0,ford,pickup,1996,salvage insurance,252588,red
497,26000,gmc,limited,2019,clean vehicle,16669,black
498,3900,honda,doors,2017,clean vehicle,47970,blue
499,11200,jeep,mpv,2019,clean vehicle,12905,gray
500,8610,jeep,mpv,2019,clean vehicle,22123,silver
501,28000,mercedes-benz,gle,2018,clean vehicle,40780,white
502,84900,mercedes-benz,sl-class,2017,clean vehicle,25302,silver
503,10840,lexus,mpv,2017,clean vehicle,36596,black
504,100,peterbilt,truck,2012,salvage insurance,0,blue
505,11050,ram,door,2017,clean vehicle,30421,white
506,0,chevrolet,door,2012,salvage insurance,134938,orange
507,1000,chevrolet,door,2005,clean vehicle,135675,gray
508,3570,dodge,door,2015,clean vehicle,17355,black
509,25001,ford,door,2017,clean vehicle,27773,gray
